episode,reward,length,deterministic,env,steps_trained
110,75.0,49,True,ALE/SpaceInvaders-v5,500000
111,230.0,95,True,ALE/SpaceInvaders-v5,500000
112,265.0,143,True,ALE/SpaceInvaders-v5,500000
113,30.0,22,True,ALE/SpaceInvaders-v5,500000
114,110.0,47,True,ALE/SpaceInvaders-v5,500000
115,0.0,11,True,ALE/SpaceInvaders-v5,500000
116,0.0,11,True,ALE/SpaceInvaders-v5,500000
117,135.0,38,True,ALE/SpaceInvaders-v5,500000
118,0.0,10,True,ALE/SpaceInvaders-v5,500000
119,35.0,25,True,ALE/SpaceInvaders-v5,500000
120,110.0,46,True,ALE/SpaceInvaders-v5,500000
121,0.0,11,True,ALE/SpaceInvaders-v5,500000
122,10.0,12,True,ALE/SpaceInvaders-v5,500000
123,165.0,68,True,ALE/SpaceInvaders-v5,500000
124,10.0,12,True,ALE/SpaceInvaders-v5,500000
125,40.0,38,True,ALE/SpaceInvaders-v5,500000
126,55.0,26,True,ALE/SpaceInvaders-v5,500000
127,50.0,14,True,ALE/SpaceInvaders-v5,500000
128,135.0,56,True,ALE/SpaceInvaders-v5,500000
129,215.0,65,True,ALE/SpaceInvaders-v5,500000
130,0.0,21,True,ALE/SpaceInvaders-v5,500000
131,385.0,97,True,ALE/SpaceInvaders-v5,500000
132,225.0,64,True,ALE/SpaceInvaders-v5,500000
133,35.0,32,True,ALE/SpaceInvaders-v5,500000
134,170.0,72,True,ALE/SpaceInvaders-v5,500000
135,180.0,61,True,ALE/SpaceInvaders-v5,500000
136,40.0,41,True,ALE/SpaceInvaders-v5,500000
137,45.0,23,True,ALE/SpaceInvaders-v5,500000
138,215.0,66,True,ALE/SpaceInvaders-v5,500000
139,80.0,46,True,ALE/SpaceInvaders-v5,500000
140,0.0,10,True,ALE/SpaceInvaders-v5,500000
141,95.0,31,True,ALE/SpaceInvaders-v5,500000
142,115.0,50,True,ALE/SpaceInvaders-v5,500000
143,0.0,10,True,ALE/SpaceInvaders-v5,500000
144,60.0,27,True,ALE/SpaceInvaders-v5,500000
145,55.0,15,True,ALE/SpaceInvaders-v5,500000
146,45.0,32,True,ALE/SpaceInvaders-v5,500000
147,0.0,14,True,ALE/SpaceInvaders-v5,500000
148,105.0,27,True,ALE/SpaceInvaders-v5,500000
149,5.0,12,True,ALE/SpaceInvaders-v5,500000
150,270.0,102,True,ALE/SpaceInvaders-v5,500000
151,60.0,30,True,ALE/SpaceInvaders-v5,500000
152,0.0,14,True,ALE/SpaceInvaders-v5,500000
153,100.0,36,True,ALE/SpaceInvaders-v5,500000
154,110.0,35,True,ALE/SpaceInvaders-v5,500000
155,145.0,39,True,ALE/SpaceInvaders-v5,500000
156,80.0,36,True,ALE/SpaceInvaders-v5,500000
157,105.0,40,True,ALE/SpaceInvaders-v5,500000
158,165.0,59,True,ALE/SpaceInvaders-v5,500000
159,35.0,25,True,ALE/SpaceInvaders-v5,500000
160,45.0,17,True,ALE/SpaceInvaders-v5,500000
161,355.0,108,True,ALE/SpaceInvaders-v5,500000
162,90.0,27,True,ALE/SpaceInvaders-v5,500000
163,105.0,38,True,ALE/SpaceInvaders-v5,500000
164,415.0,95,True,ALE/SpaceInvaders-v5,500000
165,195.0,71,True,ALE/SpaceInvaders-v5,500000
166,0.0,10,True,ALE/SpaceInvaders-v5,500000
167,25.0,21,True,ALE/SpaceInvaders-v5,500000
168,435.0,153,True,ALE/SpaceInvaders-v5,500000
169,0.0,8,True,ALE/SpaceInvaders-v5,500000
170,0.0,8,True,ALE/SpaceInvaders-v5,500000
171,135.0,52,True,ALE/SpaceInvaders-v5,500000
172,0.0,11,True,ALE/SpaceInvaders-v5,500000
173,160.0,59,True,ALE/SpaceInvaders-v5,500000
